rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
21;06/08/2022;16:30;Juventude;América-MG;0;1;U. Louzer Filho;V. Carmo Mancini;Alfredo Jaconi;15;10;3;4;66%;34%;506;278;83%;69%;12;18;1;2;0;0;2;1;13;2
21;06/08/2022;16:31;Botafogo;Ceará SC;1;1;L. Castro;M. dos Santos Gonçalves;Estádio Nilton Santos;11;16;4;5;39%;61%;347;533;77%;84%;23;9;3;4;0;0;0;1;3;8
21;06/08/2022;19:01;Avaí;Corinthians;1;1;E. de Souza Barroca;V. de Oliveira Lopes Pereira;Ressacada;7;14;2;4;41%;59%;367;522;78%;81%;11;12;2;1;0;0;4;2;2;8
21;06/08/2022;19:00;Atlético-GO;Bragantino;2;1;J. de Amorim Campos;M. Nogueira Barbieri;Estádio Antônio Accioly;11;21;4;6;42%;58%;338;449;79%;86%;10;10;2;1;0;0;1;1;8;10
21;06/08/2022;20:32;São Paulo;Flamengo;0;2;R. Ceni;D. Silvestre Júnior;Morumbi;13;20;5;7;55%;45%;495;423;83%;79%;12;7;2;2;0;0;1;1;5;3
21;07/08/2022;16:00;Fluminense;Cuiabá;1;0;F. Diniz Silva;A. Cardoso de Oliveira;Maracanã;11;9;5;1;65%;35%;558;300;88%;77%;11;14;2;1;0;0;1;2;11;6
21;07/08/2022;16:00;Palmeiras;Goiás;3;0;A. Moreira Ferreira;J. Ribeiro Ventura;Allianz Parque;19;8;8;2;57%;43%;438;342;84%;80%;12;10;2;3;0;0;3;1;5;4
21;07/08/2022;18:00;Fortaleza;Internacional;3;0;J. Vojvoda;L. Venker de Menezes;Arena Castelão;16;8;7;2;33%;67%;266;547;74%;87%;12;15;1;5;1;0;1;0;7;5
21;07/08/2022;18:59;Atlético-MG;Athletico-PR;2;3;A. Stival;L. Scolari;Mineirão;21;10;8;5;64%;36%;504;287;87%;79%;10;14;1;2;0;0;0;1;11;2
21;08/08/2022;20:04;Coritiba;Santos;1;2;G. Morínigo;L. Cirne Lima de Lorenzi;Couto Pereira;15;17;2;5;48%;52%;427;464;82%;85%;23;10;3;3;0;0;0;2;6;7
22;13/08/2022;16:30;Goiás;Avaí;1;1;J. Ribeiro Ventura;E. de Souza Barroca;Estádio da Serrinha;17;13;2;3;46%;54%;314;391;78%;81%;13;10;0;2;1;0;1;2;6;2
22;13/08/2022;19:02;Corinthians;Palmeiras;0;1;V. de Oliveira Lopes Pereira;A. Moreira Ferreira;Neo Química Arena;14;9;4;3;58%;42%;490;369;81%;76%;15;10;2;2;0;0;1;4;5;3
22;13/08/2022;20:30;Cuiabá;Juventude;1;0;A. Cardoso de Oliveira;U. Louzer Filho;Arena Pantanal;13;5;4;3;44%;56%;341;443;80%;82%;14;14;4;4;0;1;4;2;5;4
22;13/08/2022;21:00;Botafogo;Atlético-GO;0;0;L. Castro;J. de Amorim Campos;Estádio Nilton Santos;14;11;5;2;55%;45%;459;396;84%;78%;18;10;0;3;1;0;0;3;8;3
22;14/08/2022;11:01;Coritiba;Atlético-MG;0;1;G. Morínigo;A. Stival;Couto Pereira;7;19;2;7;40%;60%;370;531;75%;82%;7;20;3;0;0;0;0;0;1;9
