rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
23;07/09/2016;16:00;Santa Cruz;Chapecoense;2;2;D. Ghidoni Junior;L. Saroli Caio Júnior;Arena de Pernambuco;24;7;0;0;55%;45%;417;362;9;18;2;3;1;0;2;7;11;4
23;07/09/2016;16:01;Figueirense;Athletico-PR;1;0;T. Guimarães;P. Autuori de Mello;Orlando Scarpelli;11;9;0;0;45%;55%;339;405;16;20;1;2;0;0;3;1;3;7
23;07/09/2016;16:00;Botafogo;Fluminense;1;0;J. Ribeiro Ventura;L. Culpi;Luso-Brasileiro;12;12;0;0;36%;64%;278;465;22;15;5;2;0;0;3;1;3;9
23;07/09/2016;19:30;Atlético-MG;EC Vitória;2;1;M. de Oliveira Santos;V. Carmo Mancini;Estádio Raimundo Sampaio;18;17;0;0;51%;49%;406;394;17;17;2;5;0;0;3;5;5;6
23;07/09/2016;21:45;Palmeiras;São Paulo;2;1;A. Stival;R. Gomes Raymundo;Allianz Parque;15;8;0;0;51%;49%;335;328;20;19;3;3;0;0;1;3;6;2
23;07/09/2016;21:47;Flamengo;Ponte Preta;2;1;J. Mannarino;E. Baptista;Kléber Andrade;18;6;0;0;64%;36%;446;262;15;19;1;3;0;0;2;2;10;0
23;07/09/2016;21:45;Coritiba;Grêmio;4;0;P. Carpegiani;R. Machado Marques;Couto Pereira;14;11;0;0;39%;61%;370;576;15;9;3;0;0;0;0;3;5;2
23;08/09/2016;19:32;Corinthians;Sport Recife;3;0;C. Borges dos Santos;O. de Oliveira Filho;Neo Química Arena;9;17;0;0;51%;49%;447;433;15;17;2;2;0;0;1;5;2;8
23;08/09/2016;20:59;América-MG;Cruzeiro;0;2;E. Alves Moreira;L. Venker de Menezes;Estádio Raimundo Sampaio;9;10;0;0;62%;38%;586;370;19;13;1;2;0;0;0;5;1;3
23;08/09/2016;21:00;Internacional;Santos;2;1;C. Juarez Roth;D. Silvestre Júnior;Estádio José Pinheiro Borda;21;8;0;0;59%;41%;484;341;19;8;4;3;0;1;5;2;10;5
24;10/09/2016;18:30;EC Vitória;Flamengo;1;2;V. Carmo Mancini;J. Mannarino;Barradão;17;16;0;0;45%;55%;409;494;14;8;1;1;1;0;1;4;6;6
24;11/09/2016;11:03;Chapecoense;Coritiba;1;0;L. Saroli Caio Júnior;P. Carpegiani;Arena Condá;13;16;0;0;47%;53%;353;395;20;16;2;3;0;0;3;2;4;7
24;11/09/2016;11:02;São Paulo;Figueirense;3;1;R. Gomes Raymundo;T. Guimarães;Morumbi;20;7;0;0;60%;40%;456;325;25;17;2;2;0;0;1;0;10;3
24;11/09/2016;16:00;Cruzeiro;Botafogo;0;2;L. Venker de Menezes;J. Ribeiro Ventura;Mineirão;16;9;0;0;62%;38%;480;312;16;16;4;2;0;0;4;2;9;1
24;11/09/2016;16:01;Sport Recife;Santa Cruz;5;3;O. de Oliveira Filho;D. Ghidoni Junior;Adelmar da Costa Carvalho;17;9;0;0;64%;36%;459;276;14;18;2;1;1;1;3;0;11;4
24;11/09/2016;16:00;Athletico-PR;Internacional;2;1;P. Autuori de Mello;C. Juarez Roth;Estádio Joaquim Américo Guimarães;16;13;0;0;53%;47%;360;327;11;12;0;2;0;0;1;1;7;4
24;11/09/2016;16:01;Santos;Corinthians;2;1;D. Silvestre Júnior;C. Borges dos Santos;Estádio Urbano Caldeira;13;11;0;0;52%;48%;402;384;18;17;2;1;0;0;3;1;6;3
24;11/09/2016;18:31;Ponte Preta;América-MG;1;1;E. Baptista;E. Alves Moreira;Moisés Lucarelli;12;7;0;0;59%;41%;431;305;10;12;2;1;0;0;3;1;9;5
24;11/09/2016;18:29;Grêmio;Palmeiras;0;0;R. Machado Marques;A. Stival;Arena do Grêmio;11;7;0;0;60%;40%;444;303;23;16;4;3;0;0;5;4;5;2
24;12/09/2016;20:00;Fluminense;Atlético-MG;4;2;L. Culpi;M. de Oliveira Santos;Estádio Giulite Coutinho;16;11;0;0;49%;51%;444;458;14;16;1;4;0;0;5;1;7;2
25;14/09/2016;19:30;Botafogo;Santos;0;1;J. Ribeiro Ventura;D. Silvestre Júnior;Luso-Brasileiro;23;8;0;0;59%;41%;523;403;10;10;2;1;0;0;2;3;12;2
25;14/09/2016;19:31;Figueirense;América-MG;2;2;T. Guimarães;E. Alves Moreira;Orlando Scarpelli;9;10;0;0;47%;53%;368;386;17;13;0;1;0;1;1;2;4;8
25;14/09/2016;21:01;Ponte Preta;Grêmio;3;0;E. Baptista;R. Machado Marques;Moisés Lucarelli;17;5;0;0;40%;60%;313;488;16;18;2;1;0;0;5;3;5;3
25;14/09/2016;21:00;Santa Cruz;Athletico-PR;1;0;D. Ghidoni Junior;P. Autuori de Mello;Estádio do Arruda;17;6;0;0;57%;43%;492;399;12;13;3;4;0;0;1;0;15;3
25;14/09/2016;21:46;Coritiba;Corinthians;1;1;P. Carpegiani;C. Borges dos Santos;Couto Pereira;10;13;0;0;41%;59%;368;526;15;12;2;1;1;0;4;5;4;5
25;14/09/2016;21:46;Palmeiras;Flamengo;1;1;A. Stival;J. Mannarino;Allianz Parque;24;9;0;0;65%;35%;452;252;13;13;2;0;0;1;0;0;4;5
25;15/09/2016;19:30;Atlético-MG;Sport Recife;1;0;M. de Oliveira Santos;O. de Oliveira Filho;Estádio Raimundo Sampaio;16;6;0;0;63%;37%;612;376;13;15;0;1;0;1;1;1;3;4
25;15/09/2016;19:29;Fluminense;Chapecoense;1;2;L. Culpi;L. Saroli Caio Júnior;Estádio Giulite Coutinho;12;11;0;0;59%;41%;529;381;19;18;3;4;0;0;2;2;8;2
25;15/09/2016;21:01;São Paulo;Cruzeiro;1;0;R. Gomes Raymundo;L. Venker de Menezes;Morumbi;9;12;0;0;54%;46%;512;436;14;8;0;0;0;1;2;0;2;5
25;15/09/2016;20:59;Internacional;EC Vitória;0;1;C. Juarez Roth;A. Fucks;Estádio José Pinheiro Borda;15;12;0;0;66%;34%;519;279;18;24;3;5;0;0;3;1;8;2
26;17/09/2016;16:02;Corinthians;Palmeiras;0;2;C. Borges dos Santos;A. Stival;Neo Química Arena;12;12;0;0;67%;33%;635;325;16;16;1;4;1;0;0;1;9;1
26;18/09/2016;11:03;Flamengo;Figueirense;2;0;J. Mannarino;T. Guimarães;Estádio Municipal Paulo Machado de Carvalho;25;4;0;0;65%;35%;565;311;16;17;2;2;0;1;0;0;9;1
26;18/09/2016;16:00;Cruzeiro;Atlético-MG;1;1;L. Venker de Menezes;M. de Oliveira Santos;Mineirão;13;7;0;0;48%;52%;377;420;12;23;0;2;1;0;2;2;4;2
26;18/09/2016;16:01;Sport Recife;Coritiba;0;1;O. de Oliveira Filho;P. Carpegiani;Adelmar da Costa Carvalho;17;7;0;0;66%;34%;464;253;20;21;0;1;0;0;3;3;8;1
26;18/09/2016;16:00;Grêmio;Fluminense;0;1;J. Freitas;L. Culpi;Arena do Grêmio;22;11;0;0;68%;32%;645;317;17;11;4;3;0;0;1;6;9;1
26;18/09/2016;16:01;Chapecoense;Ponte Preta;2;2;L. Saroli Caio Júnior;E. Baptista;Arena Condá;9;12;0;0;57%;43%;455;362;16;12;2;0;0;0;3;4;7;6
26;18/09/2016;16:00;Athletico-PR;São Paulo;1;0;P. Autuori de Mello;R. Gomes Raymundo;Estádio Joaquim Américo Guimarães;12;8;0;0;43%;57%;372;476;12;12;1;1;0;0;2;2;5;4
